"","Item name","Number for sale","Price of item (cents)","Price of item (conventional format)","Name of Game"
"356","Strange Thrilling Tracksuit",20,198,"$1.98","Team Fortress 2"
"357","Specialized Killstreak C.A.P.P.E.R Kit Fabricator",70,7,"$0.07","Team Fortress 2"
"358","Strange Graylien",42,66,"$0.66","Team Fortress 2"
"359","Phononaut",102,57,"$0.57","Team Fortress 2"
"360","Genuine Criminal Cloak",132,54,"$0.54","Team Fortress 2"
"361","Strange Battalion's Backup",47,31,"$0.31","Team Fortress 2"
"362","Strange Hitman's Heatmaker",132,69,"$0.69","Team Fortress 2"
"363","Strange Eviction Notice",122,21,"$0.21","Team Fortress 2"
"364","Strange Beggar's Bazooka",143,31,"$0.31","Team Fortress 2"
"365","Strange Soda Popper",81,133,"$1.33","Team Fortress 2"
"366","Strange Bushwacka",89,49,"$0.49","Team Fortress 2"
"367","Strange Killing Gloves of Boxing",90,32,"$0.32","Team Fortress 2"
"368","Strange Flare Gun",142,84,"$0.84","Team Fortress 2"
"369","Strange Dead Ringer",77,123,"$1.23","Team Fortress 2"
"370","Strange Reserve Shooter",312,20,"$0.20","Team Fortress 2"
"371","Strange Crusader's Crossbow",139,139,"$1.39","Team Fortress 2"
"372","Strange Half-Zatoichi",115,83,"$0.83","Team Fortress 2"
"373","Strange Bat",95,36,"$0.36","Team Fortress 2"
"374","Strange Tribalman's Shiv",165,19,"$0.19","Team Fortress 2"
"375","Pretty Boy's Pocket Pistol Strangifier",126,25,"$0.25","Team Fortress 2"
"376","Strange Chargin' Targe",98,34,"$0.34","Team Fortress 2"
"377","Strange Invis Watch",20,1038,"$10.38","Team Fortress 2"
"378","Strange Mustachioed Mann",50,299,"$2.99","Team Fortress 2"
"379","Strange Killer's Kit",12,687,"$6.87","Team Fortress 2"
"380","Killstreak Fortified Compound",56,62,"$0.62","Team Fortress 2"
"381","Strange Phlogistinator",183,85,"$0.85","Team Fortress 2"
"382","Strange Toowoomba Tunic",19,345,"$3.45","Team Fortress 2"
"383","Genuine Professional Killstreak Fortified Compound",9,503,"$5.03","Team Fortress 2"
"384","Professor Speks Strangifier Chemistry Set Series #2",317,6,"$0.06","Team Fortress 2"
"385","Strange Sydney Sleeper",171,29,"$0.29","Team Fortress 2"
"386","Strange Pain Train",197,18,"$0.18","Team Fortress 2"
"387","Strange Powerjack",145,28,"$0.28","Team Fortress 2"
"388","Strange Mad Milk",57,107,"$1.07","Team Fortress 2"
"389","Strange Homewrecker",151,26,"$0.26","Team Fortress 2"
"390","Specialized Killstreak Frying Pan",35,338,"$3.38","Team Fortress 2"
"391","Specialized Killstreak AWPer Hand Kit Fabricator",47,74,"$0.74","Team Fortress 2"
"392","Strange Detonator",88,30,"$0.30","Team Fortress 2"
"393","Strange Scotsman's Skullcutter",202,20,"$0.20","Team Fortress 2"
"394","Strange Spy-cicle",135,101,"$1.01","Team Fortress 2"
"395","Strange Bottle",141,28,"$0.28","Team Fortress 2"
"396","Strange Shortstop",176,27,"$0.27","Team Fortress 2"
"397","Strange Backburner",141,83,"$0.83","Team Fortress 2"
"398","Strange Neon Annihilator",151,18,"$0.18","Team Fortress 2"
"399","Strange Overdose",156,18,"$0.18","Team Fortress 2"
"400","Strange Specialized Killstreak Silver Botkiller Stickybomb Launcher Mk.II",11,193,"$1.93","Team Fortress 2"
"401","Strange Specialized Killstreak Blood Botkiller Wrench Mk.I",1,328,"$3.28","Team Fortress 2"
"402","Killstreak Iron Curtain Kit",46,54,"$0.54","Team Fortress 2"
"403","Killstreak Frying Pan Kit",45,258,"$2.58","Team Fortress 2"
"404","Specialized Killstreak Black Rose Kit Fabricator",102,16,"$0.16","Team Fortress 2"
"405","Genuine Killstreak AWPer Hand",18,399,"$3.99","Team Fortress 2"
"406","Vintage Professional Killstreak Lugermorph",15,1971,"$19.71","Team Fortress 2"
"407","Nice Winter Crate 2014 Series #89",28205,3,"$0.03","Team Fortress 2"
"408","Naughty Winter Crate 2014 Series #88",26705,3,"$0.03","Team Fortress 2"
"409","The Festive Backburner",164,34,"$0.34","Team Fortress 2"
"410","Festive Shotgun",80,54,"$0.54","Team Fortress 2"
"411","Festive Chargin' Targe",129,26,"$0.26","Team Fortress 2"
"412","Festive Bonk! Atomic Punch",127,24,"$0.24","Team Fortress 2"
"413","Strange Sleeveless in Siberia",28,155,"$1.55","Team Fortress 2"
"414","Trophy Belt",134,48,"$0.48","Team Fortress 2"
"415","The Lone Survivor",34,277,"$2.77","Team Fortress 2"
"416","Demoman's Fro",161,55,"$0.55","Team Fortress 2"
"417","Prussian Pickelhaube",176,23,"$0.23","Team Fortress 2"
"418","Skullcap",24,216,"$2.16","Team Fortress 2"
"419","Robo Community Crate Series #58",4018,5,"$0.05","Team Fortress 2"
"420","Festive Bonesaw",177,17,"$0.17","Team Fortress 2"
"421","Strange Bushman's Bristles",11,361,"$3.61","Team Fortress 2"
"422","Co-Pilot",20,266,"$2.66","Team Fortress 2"
"423","Scot Bonnet",51,123,"$1.23","Team Fortress 2"
"424","Puffy Provocateur",51,423,"$4.23","Team Fortress 2"
"425","Specialized Killstreak Iron Bomber Kit",15,292,"$2.92","Team Fortress 2"
"426","Killstreak Quickiebomb Launcher",74,42,"$0.42","Team Fortress 2"
"427","Marksman's Mohair",83,222,"$2.22","Team Fortress 2"
"428","Specialized Killstreak Classic Kit",11,186,"$1.86","Team Fortress 2"
"429","Killstreak Back Scatter Kit",90,32,"$0.32","Team Fortress 2"
"430","Strange Killstreak Bread Bite",7,376,"$3.76","Team Fortress 2"
"431","Killstreak Back Scatter",65,41,"$0.41","Team Fortress 2"
"432","Genuine Mister Bubbles",200,21,"$0.21","Team Fortress 2"
"433","Strange Vaccinator",63,77,"$0.77","Team Fortress 2"
"434","Strange Classic",105,52,"$0.52","Team Fortress 2"
"435","Manmelter Strangifier",65,20,"$0.20","Team Fortress 2"
"436","Strange Manmelter",95,24,"$0.24","Team Fortress 2"
"437","Strange Apparition's Aspect",15,406,"$4.06","Team Fortress 2"
"438","Strange Natascha",144,24,"$0.24","Team Fortress 2"
"439","Unusual Taunt: Party Trick",48,1256,"$12.56","Team Fortress 2"
"440","Unusual Taunt: The Schadenfreude",36,2819,"$28.19","Team Fortress 2"
"441","Stockbroker's Scarf",172,23,"$0.23","Team Fortress 2"
"442","The Essential Accessories",134,139,"$1.39","Team Fortress 2"
"443","Batter's Helmet",260,23,"$0.23","Team Fortress 2"
"444","The Mishap Mercenary",118,106,"$1.06","Team Fortress 2"
"445","Lumbricus Lid",183,48,"$0.48","Team Fortress 2"
"446","Pocket Heavy",84,57,"$0.57","Team Fortress 2"
"447","The Lady Killer",102,223,"$2.23","Team Fortress 2"
"448","Spirit of the Bombing Past",31,51,"$0.51","Team Fortress 2"
"449","Colossal Cranium",60,23,"$0.23","Team Fortress 2"
"450","Big Topper",23,106,"$1.06","Team Fortress 2"
"451","The Cranial Carcharodon",105,39,"$0.39","Team Fortress 2"
"452","Taunt: Second Rate Sorcery",28,438,"$4.38","Team Fortress 2"
"453","Nasty Norsemann",96,27,"$0.27","Team Fortress 2"
"454","Strange Snapped Pupil",2,983,"$9.83","Team Fortress 2"
"455","Unusual Taunt: The Box Trot",44,2102,"$21.02","Team Fortress 2"
"456","Strange Graybanns",8,1202,"$12.02","Team Fortress 2"
"457","Strange Brotherhood of Arms",18,839,"$8.39","Team Fortress 2"
"458","Strange Killstreak Quickiebomb Launcher",5,158,"$1.58","Team Fortress 2"
"459","Strange Sub Zero Suit",14,1083,"$10.83","Team Fortress 2"
"460","Strange Hong Kong Cone",9,869,"$8.69","Team Fortress 2"
"461","Strange Back Scatter",102,34,"$0.34","Team Fortress 2"
"462","Strange Belgian Detective",6,497,"$4.97","Team Fortress 2"
"463","Strange Mutton Mann",22,152,"$1.52","Team Fortress 2"
"464","Strange Upgrade",45,30,"$0.30","Team Fortress 2"
"465","Down Under Duster",106,124,"$1.24","Team Fortress 2"
"466","Guilden Guardian",60,59,"$0.59","Team Fortress 2"
"467","Strange Head Mounted Double Observatory",79,29,"$0.29","Team Fortress 2"
"468","Airtight Arsonist",255,32,"$0.32","Team Fortress 2"
"469","Archer's Sterling",90,30,"$0.30","Team Fortress 2"
"470","Flammable Favor",58,39,"$0.39","Team Fortress 2"
"471","Genuine Audio File",17,392,"$3.92","Team Fortress 2"
"472","Messenger's Mail Bag",105,28,"$0.28","Team Fortress 2"
"473","Strange Airtight Arsonist",47,70,"$0.70","Team Fortress 2"
"474","Strange Head Prize",7,2795,"$27.95","Team Fortress 2"
"475","Bomb Beanie",63,48,"$0.48","Team Fortress 2"
"476","Pyro the Flamedeer",45,337,"$3.37","Team Fortress 2"
"477","Reader's Choice",199,28,"$0.28","Team Fortress 2"
"478","Sweet Smissmas Sweater",335,43,"$0.43","Team Fortress 2"
"479","Unusual Shred Alert",35,2012,"$20.12","Team Fortress 2"
"480","The Chill Chullo",144,53,"$0.53","Team Fortress 2"
"481","The Toadstool Topper",67,61,"$0.61","Team Fortress 2"
"482","Strange Spooktacles",24,121,"$1.21","Team Fortress 2"
"483","Strange Cranial Carcharodon",42,86,"$0.86","Team Fortress 2"
"484","Strange Hot Heels",60,110,"$1.10","Team Fortress 2"
"485","The Diplomat",80,151,"$1.51","Team Fortress 2"
"486","Coffin Nail Shotgun (Minimal Wear)",19,39,"$0.39","Team Fortress 2"
"487","Corsair Medi Gun (Minimal Wear)",30,25,"$0.25","Team Fortress 2"
"488","Nutcracker Flame Thrower (Battle Scarred)",40,10,"$0.10","Team Fortress 2"
"489","Butcher Bird Grenade Launcher (Minimal Wear)",25,25,"$0.25","Team Fortress 2"
"490","Blitzkrieg SMG (Battle Scarred)",18,18,"$0.18","Team Fortress 2"
"491","Blitzkrieg Pistol (Well-Worn)",24,18,"$0.18","Team Fortress 2"
"492","Blitzkrieg Knife (Well-Worn)",49,21,"$0.21","Team Fortress 2"
"493","Strange Shot to Hell Scattergun (Field-Tested)",10,518,"$5.18","Team Fortress 2"
"494","Dressed to Kill Sniper Rifle (Battle Scarred)",34,12,"$0.12","Team Fortress 2"
"495","Flower Power Medi Gun (Well-Worn)",33,18,"$0.18","Team Fortress 2"
"496","Strange Backcountry Blaster Scattergun (Field-Tested)",5,110,"$1.10","Team Fortress 2"
"497","Strange Dressed to Kill Pistol (Field-Tested)",6,93,"$0.93","Team Fortress 2"
"498","Genuine Arkham Cowl",132,106,"$1.06","Team Fortress 2"
"499","Mayflower Cosmetic Case",117507,3,"$0.03","Team Fortress 2"
"500","Strange Demo's Dustcatcher",57,50,"$0.50","Team Fortress 2"
"501","The Surgical Survivalist",152,32,"$0.32","Team Fortress 2"
"502","The Demo's Dustcatcher",144,25,"$0.25","Team Fortress 2"
"503","The Lurking Legionnaire",152,151,"$1.51","Team Fortress 2"
"504","Strange Panic Attack",63,40,"$0.40","Team Fortress 2"
"505","Strange Mair Mask",2,1699,"$16.99","Team Fortress 2"
"506","Smalltown Bringdown Mk.II Scorch Shot (Field-Tested)",11,12,"$0.12","Team Fortress 2"
"507","Night Owl Mk.II Revolver (Field-Tested)",8,21,"$0.21","Team Fortress 2"
"508","Nutcracker Mk.II Knife (Field-Tested)",17,15,"$0.15","Team Fortress 2"
"509","Smalltown Bringdown Mk.II Revolver (Minimal Wear)",16,15,"$0.15","Team Fortress 2"
"510","Civil Servant Mk.II Brass Beast (Well-Worn)",15,10,"$0.10","Team Fortress 2"
"511","Civic Duty Mk.II Iron Bomber (Battle Scarred)",7,13,"$0.13","Team Fortress 2"
"512","Nutcracker Mk.II War Paint (Factory New)",18,140,"$1.40","Team Fortress 2"
"513","Nutcracker Mk.II War Paint (Battle Scarred)",32,13,"$0.13","Team Fortress 2"
"514","Nutcracker Mk.II Sniper Rifle (Minimal Wear)",13,18,"$0.18","Team Fortress 2"
"515","Unusual Hunter in Darkness",3,9673,"$96.73","Team Fortress 2"
"516","Smalltown Bringdown Mk.II Rescue Ranger (Field-Tested)",7,13,"$0.13","Team Fortress 2"
"517","Night Owl Mk.II Sniper Rifle (Factory New)",37,24,"$0.24","Team Fortress 2"
"518","Autumn Mk.II Scorch Shot (Field-Tested)",9,19,"$0.19","Team Fortress 2"
"519","Civil Servant Mk.II Scorch Shot (Field-Tested)",9,10,"$0.10","Team Fortress 2"
"520","Nutcracker Mk.II Rocket Launcher (Minimal Wear)",7,14,"$0.14","Team Fortress 2"
"521","Night Owl Mk.II Knife (Field-Tested)",8,28,"$0.28","Team Fortress 2"
"522","Backwoods Boomstick Mk.II Medi Gun (Field-Tested)",6,14,"$0.14","Team Fortress 2"
"523","Woodsy Widowmaker Mk.II Black Box (Well-Worn)",10,14,"$0.14","Team Fortress 2"
"524","Plaid Potshotter Mk.II Knife (Field-Tested)",14,18,"$0.18","Team Fortress 2"
"525","Autumn Mk.II Iron Bomber (Well-Worn)",9,16,"$0.16","Team Fortress 2"
"526","Night Owl Mk.II Grenade Launcher (Field-Tested)",4,19,"$0.19","Team Fortress 2"
"527","Plaid Potshotter Mk.II Loose Cannon (Well-Worn)",5,17,"$0.17","Team Fortress 2"
"528","Civil Servant Mk.II Reserve Shooter (Well-Worn)",12,10,"$0.10","Team Fortress 2"
"529","Smalltown Bringdown Mk.II War Paint (Field-Tested)",174,8,"$0.08","Team Fortress 2"
"530","Night Owl Mk.II Shotgun (Field-Tested)",10,24,"$0.24","Team Fortress 2"
"531","Autumn Mk.II Ubersaw (Minimal Wear)",9,13,"$0.13","Team Fortress 2"
"532","Civic Duty Mk.II Scorch Shot (Field-Tested)",21,11,"$0.11","Team Fortress 2"
"533","Backwoods Boomstick Mk.II Scattergun (Field-Tested)",7,19,"$0.19","Team Fortress 2"
"534","Forest Fire Mk.II Shotgun (Factory New)",12,29,"$0.29","Team Fortress 2"
"535","Night Owl Mk.II Medi Gun (Field-Tested)",9,18,"$0.18","Team Fortress 2"
"536","Woodsy Widowmaker Mk.II Tomislav (Field-Tested)",7,20,"$0.20","Team Fortress 2"
"537","Civic Duty Mk.II Minigun (Factory New)",18,16,"$0.16","Team Fortress 2"
"538","Tiger Buffed Scattergun (Minimal Wear)",5,28,"$0.28","Team Fortress 2"
"539","Autumn Mk.II Stickybomb Launcher (Well-Worn)",17,10,"$0.10","Team Fortress 2"
"540","Civil Servant Mk.II Sniper Rifle (Well-Worn)",14,15,"$0.15","Team Fortress 2"
"541","Macabre Web Mk.II War Paint (Battle Scarred)",21,18,"$0.18","Team Fortress 2"
"542","Civil Servant Mk.II Panic Attack (Well-Worn)",14,12,"$0.12","Team Fortress 2"
"543","Woodsy Widowmaker Mk.II Black Box (Minimal Wear)",8,34,"$0.34","Team Fortress 2"
"544","Leopard Printed Grenade Launcher (Field-Tested)",4,27,"$0.27","Team Fortress 2"
"545","Civil Servant Mk.II Tomislav (Minimal Wear)",16,12,"$0.12","Team Fortress 2"
"546","Woodsy Widowmaker Mk.II Rocket Launcher (Factory New)",18,26,"$0.26","Team Fortress 2"
"547","Civil Servant Mk.II Medi Gun (Field-Tested)",70,8,"$0.08","Team Fortress 2"
"548","Masked Mender Mk.II Knife (Factory New)",2,255,"$2.55","Team Fortress 2"
"549","Mannana Peeled Shahanshah (Field-Tested)",4,25,"$0.25","Team Fortress 2"
"550","Civic Duty Mk.II Shahanshah (Minimal Wear)",17,9,"$0.09","Team Fortress 2"
"551","Iron Wood Mk.II Powerjack (Field-Tested)",12,11,"$0.11","Team Fortress 2"
"552","Civil Servant Mk.II Bazaar Bargain (Field-Tested)",24,10,"$0.10","Team Fortress 2"
"553","Mannana Peeled Disciplinary Action (Field-Tested)",0,24,"$0.24","Team Fortress 2"
"554","Plaid Potshotter Mk.II Black Box (Minimal Wear)",7,15,"$0.15","Team Fortress 2"
"555","Woodsy Widowmaker Mk.II Holy Mackerel (Field-Tested)",7,14,"$0.14","Team Fortress 2"
"556","Plaid Potshotter Mk.II Iron Bomber (Field-Tested)",8,16,"$0.16","Team Fortress 2"
"557","Masked Mender Mk.II Knife (Field-Tested)",9,24,"$0.24","Team Fortress 2"
"558","Civic Duty Mk.II Shotgun (Battle Scarred)",9,10,"$0.10","Team Fortress 2"
"559","Civic Duty Mk.II Jag (Field-Tested)",9,11,"$0.11","Team Fortress 2"
"560","Night Owl Mk.II Scattergun (Factory New)",44,31,"$0.31","Team Fortress 2"
"561","Civil Servant Mk.II Jag (Field-Tested)",13,10,"$0.10","Team Fortress 2"
"562","Autumn Mk.II Air Strike (Field-Tested)",8,11,"$0.11","Team Fortress 2"
"563","Plaid Potshotter Mk.II Bazaar Bargain (Factory New)",9,43,"$0.43","Team Fortress 2"
"564","Civil Servant Mk.II Degreaser (Minimal Wear)",13,12,"$0.12","Team Fortress 2"
"565","Civic Duty Mk.II Disciplinary Action (Field-Tested)",9,10,"$0.10","Team Fortress 2"
"566","Civic Duty Mk.II Crusader's Crossbow (Field-Tested)",18,12,"$0.12","Team Fortress 2"
"567","Night Owl Mk.II Flame Thrower (Field-Tested)",4,27,"$0.27","Team Fortress 2"
"568","Civil Servant Mk.II Crusader's Crossbow (Field-Tested)",15,12,"$0.12","Team Fortress 2"
"569","Night Owl Mk.II Rocket Launcher (Field-Tested)",10,17,"$0.17","Team Fortress 2"
"570","Autumn Mk.II Tomislav (Field-Tested)",14,12,"$0.12","Team Fortress 2"
"571","Fat Man's Field Cap",147,24,"$0.24","Team Fortress 2"
"572","Bait and Bite",146,21,"$0.21","Team Fortress 2"
"573","Kill Covered War Paint (Field-Tested)",10,86,"$0.86","Team Fortress 2"
"574","Strange Commando Elite",28,49,"$0.49","Team Fortress 2"
"575","Star Crossed War Paint (Well-Worn)",20,18,"$0.18","Team Fortress 2"
"576","Bloom Buffed War Paint (Minimal Wear)",25,36,"$0.36","Team Fortress 2"
"577","The Croaking Hazard",130,73,"$0.73","Team Fortress 2"
"578","Strange Vitals Vest",25,110,"$1.10","Team Fortress 2"
"579","Merc Stained War Paint (Well-Worn)",21,20,"$0.20","Team Fortress 2"
"580","Mannana Peeled War Paint (Field-Tested)",16,29,"$0.29","Team Fortress 2"
"581","Cardboard Boxed War Paint (Battle Scarred)",22,18,"$0.18","Team Fortress 2"
"582","The Crit Cloak",78,64,"$0.64","Team Fortress 2"
"583","Jungle Wreath",21,163,"$1.63","Team Fortress 2"
"584","Strange Anodized Aloha War Paint (Field-Tested)",11,154,"$1.54","Team Fortress 2"
"585","Quack Canvassed War Paint (Battle Scarred)",18,18,"$0.18","Team Fortress 2"
"586","Bamboo Brushed War Paint (Field-Tested)",25,17,"$0.17","Team Fortress 2"
"587","Sacrificial Stone",53,94,"$0.94","Team Fortress 2"
"588","Forest Fire Mk.II War Paint (Field-Tested)",61,18,"$0.18","Team Fortress 2"
"589","Bamboo Brushed Shotgun (Field-Tested)",8,11,"$0.11","Team Fortress 2"
"590","Civil Servant Mk.II Rescue Ranger (Field-Tested)",18,10,"$0.10","Team Fortress 2"
"591","Civic Duty Mk.II Bazaar Bargain (Field-Tested)",22,12,"$0.12","Team Fortress 2"
"592","Civil Servant Mk.II Claidheamh Mòr (Factory New)",5,18,"$0.18","Team Fortress 2"
"593","Macabre Web Mk.II War Paint (Minimal Wear)",41,37,"$0.37","Team Fortress 2"
"594","Bank Rolled Scattergun (Field-Tested)",2,39,"$0.39","Team Fortress 2"
"595","Civic Duty Mk.II Medi Gun (Field-Tested)",79,8,"$0.08","Team Fortress 2"
"596","Night Owl Mk.II Black Box (Field-Tested)",7,17,"$0.17","Team Fortress 2"
"597","Masked Mender Mk.II War Paint (Battle Scarred)",24,18,"$0.18","Team Fortress 2"
"598","Strange War Eagle",10,627,"$6.27","Team Fortress 2"
"599","Civic Duty Mk.II Air Strike (Field-Tested)",24,10,"$0.10","Team Fortress 2"
"600","Macabre Web Mk.II War Paint (Field-Tested)",46,23,"$0.23","Team Fortress 2"
"601","Woodsy Widowmaker Mk.II War Paint (Factory New)",45,37,"$0.37","Team Fortress 2"
"602","Civic Duty Mk.II Tomislav (Well-Worn)",7,12,"$0.12","Team Fortress 2"
"603","Bovine Blazemaker Mk.II Sniper Rifle (Well-Worn)",9,15,"$0.15","Team Fortress 2"
"604","Night Owl Mk.II War Paint (Minimal Wear)",23,37,"$0.37","Team Fortress 2"
"605","Iron Wood Mk.II War Paint (Minimal Wear)",39,25,"$0.25","Team Fortress 2"
"606","Nutcracker Mk.II War Paint (Well-Worn)",54,10,"$0.10","Team Fortress 2"
"607","Strange Transparent Trousers",9,370,"$3.70","Team Fortress 2"
"608","Unusual Taunt: The Soviet Strongarm Unusualifier",16,1566,"$15.66","Team Fortress 2"
"609","Strange Aloha Apparel",10,357,"$3.57","Team Fortress 2"
"610","Tropical Toad",67,66,"$0.66","Team Fortress 2"
"611","Strange Crit Cloak",10,189,"$1.89","Team Fortress 2"
"612","Strange Dream Piped War Paint (Field-Tested)",3,1196,"$11.96","Team Fortress 2"
"613","Bank Rolled Black Box (Field-Tested)",2,77,"$0.77","Team Fortress 2"
"614","Mann Co. Supply Crate Series #28",235,5,"$0.05","Team Fortress 2"
"615","Unusual Handyman's Handle",45,2240,"$22.40","Team Fortress 2"
"616","Black Summer 2013 Cooler Series #69",485,4,"$0.04","Team Fortress 2"
"617","Unusual Troublemaker's Tossle Cap",17,4025,"$40.25","Team Fortress 2"
"618","Unusual Killer's Kabuto",18,3275,"$32.75","Team Fortress 2"
"619","Haunted Wraith Wrap",113,103,"$1.03","Team Fortress 2"
"620","Haunted Scottish Snarl",99,30,"$0.30","Team Fortress 2"
"621","Unusual Das Ubersternmann",3,4800,"$48.00","Team Fortress 2"
"622","Fall 2013 Acorns Crate Series #72",2547,3,"$0.03","Team Fortress 2"
"623","Haunted Fallen Angel",72,129,"$1.29","Team Fortress 2"
"624","Haunted Sackcloth Spook",45,66,"$0.66","Team Fortress 2"
"625","Haunted Das Blutliebhaber",29,53,"$0.53","Team Fortress 2"
"626","Specialized Killstreak Phlogistinator Kit Fabricator",115,9,"$0.09","Team Fortress 2"
"627","Strange Sandvich Safe",14,135,"$1.35","Team Fortress 2"
"628","Strange Outback Intellectual",94,149,"$1.49","Team Fortress 2"
"629","Strange Foppish Physician",27,106,"$1.06","Team Fortress 2"
"630","Haunted Voodoo-Cursed Sniper Soul",174,58,"$0.58","Team Fortress 2"
"631","Haunted Bonedolier",142,63,"$0.63","Team Fortress 2"
"632","Haunted Cadaver's Capper",51,39,"$0.39","Team Fortress 2"
"633","Killstreak Ubersaw Kit",93,31,"$0.31","Team Fortress 2"
"634","Strange Killstreak Scattergun",85,163,"$1.63","Team Fortress 2"
"635","Killstreak Bat Outta Hell Kit",52,38,"$0.38","Team Fortress 2"
"636","Specialized Killstreak Frontier Justice Kit Fabricator",143,4,"$0.04","Team Fortress 2"
"637","Specialized Killstreak Backburner Kit Fabricator",123,4,"$0.04","Team Fortress 2"
"638","Specialized Killstreak Soda Popper Kit Fabricator",197,4,"$0.04","Team Fortress 2"
"639","Specialized Killstreak Claidheamh Mòr Kit Fabricator",197,3,"$0.03","Team Fortress 2"
"640","Killstreak Ambassador Kit",47,51,"$0.51","Team Fortress 2"
"641","Specialized Killstreak Hitman's Heatmaker",6,178,"$1.78","Team Fortress 2"
"642","Specialized Killstreak Conscientious Objector Kit Fabricator",80,28,"$0.28","Team Fortress 2"
"643","Specialized Killstreak Revolver Kit Fabricator",107,5,"$0.05","Team Fortress 2"
"644","Specialized Killstreak Flying Guillotine Kit Fabricator",202,3,"$0.03","Team Fortress 2"
"645","Specialized Killstreak Eyelander Kit Fabricator",103,17,"$0.17","Team Fortress 2"
"646","Strange Specialized Killstreak Stickybomb Launcher",30,202,"$2.02","Team Fortress 2"
"647","Specialized Killstreak Splendid Screen Kit Fabricator",210,3,"$0.03","Team Fortress 2"
"648","Killstreak Bushwacka Kit",31,39,"$0.39","Team Fortress 2"
"649","Specialized Killstreak Powerjack Kit Fabricator",112,4,"$0.04","Team Fortress 2"
"650","Specialized Killstreak Kritzkrieg Kit",23,170,"$1.70","Team Fortress 2"
"651","Genuine Specialized Killstreak Ham Shank",17,154,"$1.54","Team Fortress 2"
"652","Strange Specialized Killstreak Your Eternal Reward",16,339,"$3.39","Team Fortress 2"
"653","Killstreak Market Gardener Kit",44,75,"$0.75","Team Fortress 2"
"654","Specialized Killstreak Scottish Handshake Kit Fabricator",317,3,"$0.03","Team Fortress 2"
"655","Killstreak Original",24,154,"$1.54","Team Fortress 2"
"656","Specialized Killstreak Medi Gun Kit Fabricator",21,296,"$2.96","Team Fortress 2"
"657","Strange Killstreak Shortstop",17,63,"$0.63","Team Fortress 2"
"658","Killstreak Frontier Justice Kit",77,39,"$0.39","Team Fortress 2"
"659","Killstreak Beggar's Bazooka Kit",35,39,"$0.39","Team Fortress 2"
"660","Killstreak Rainblower Kit",53,36,"$0.36","Team Fortress 2"
"661","Killstreak Cow Mangler 5000 Kit",28,70,"$0.70","Team Fortress 2"
"662","Killstreak Shotgun Kit",64,70,"$0.70","Team Fortress 2"
"663","Strange Killstreak Stickybomb Launcher",47,118,"$1.18","Team Fortress 2"
"664","Specialized Killstreak Lollichop Kit Fabricator",262,3,"$0.03","Team Fortress 2"
"665","Specialized Killstreak Stickybomb Launcher Kit",40,269,"$2.69","Team Fortress 2"
"666","Specialized Killstreak Ubersaw Kit Fabricator",85,7,"$0.07","Team Fortress 2"
"667","Strange Part: Medics Killed",62,258,"$2.58","Team Fortress 2"
"668","Strange Blood Botkiller Medi Gun Mk.I",21,193,"$1.93","Team Fortress 2"
"669","Genuine Brütal Bouffant",175,105,"$1.05","Team Fortress 2"
"670","Strange Blood Botkiller Minigun Mk.I",28,219,"$2.19","Team Fortress 2"
"671","Strange Gold Botkiller Minigun Mk.II",21,181,"$1.81","Team Fortress 2"
"672","Mann Co. Supply Crate Series #9",149,82,"$0.82","Team Fortress 2"
"673","Mann Co. Supply Crate Series #17",399,8,"$0.08","Team Fortress 2"
"674","Genuine Fortune Hunter",137,36,"$0.36","Team Fortress 2"
"675","Strange Silver Botkiller Stickybomb Launcher Mk.I",166,46,"$0.46","Team Fortress 2"
"676","Genuine Wilson Weave",478,23,"$0.23","Team Fortress 2"
"677","Genuine Scotsman's Stove Pipe",54,92,"$0.92","Team Fortress 2"
"678","Mann Co. Supply Crate Series #38",291,5,"$0.05","Team Fortress 2"
"679","Unusual Exquisite Rack",17,7928,"$79.28","Team Fortress 2"
"680","Vintage Physician's Procedure Mask",0,278,"$2.78","Team Fortress 2"
"681","Strange Silver Botkiller Scattergun Mk.II",106,97,"$0.97","Team Fortress 2"
"682","Vintage Mining Light",152,128,"$1.28","Team Fortress 2"
"683","Vintage Frenchman's Beret",0,118,"$1.18","Team Fortress 2"
"684","Strange Diamond Botkiller Knife Mk.I",22,111,"$1.11","Team Fortress 2"
